id,slug,name,city,country,continent,latitude,longitude,startDate,endDate,eventTypes,partyEnergy,visualSpectacle,culturalDepth,tourismDensity,averagePulse,defaultAppScore,bestFor,description,travelNotes,officialWebsite,imageUrl,galleryImageCount
advent-zagreb,advent-zagreb,Advent Zagreb,Zagreb,Croatia,Europe,45.815,15.9819,2026-11-30,2026-12-31,seasonal; cultural_heritage,3,5,3,3,3.5,3,Winter travel; Food travel; Family-friendly,"Zagreb’s Advent season is a city-run winter festival that strings light installations, concerts, and open-air stalls across the centre—from Ban Jelačić Square through Zrinjevac to the Upper Town. Food halls, pop-up bars, and the repurposed Grič Tunnel draw evening crowds from late November through December. Routes and featured stages change each year, so use the official city program for dates, maps, and any timed tickets.","Wear warm layers and non-slip shoes—ice, rain, and packed cobbles are normal. Weekends are busiest; book hotels near trams (lines serve the main hubs). Leave time for security lines at popular venues and check whether pop-up bars are card-only.",,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Zagreb_%2829255640143%29.jpg/1920px-Zagreb_%2829255640143%29.jpg,2
air-guitar-world-championships,air-guitar-world-championships,Air Guitar World Championships,Oulu,Finland,Europe,65.0121,25.4651,2026-08-26,2026-08-28,music,5,4,2,3,3.5,3,Music lovers; Summer travel; Adrenaline seekers,"Air Guitar World Championships (AGWC) is an annual event taking place in Oulu, Finland. AGWC was arranged for the first time in 1996. Today, national championships are held all around the world. Playing air guitar is based on mimicking guitar playing. Music genres may vary, but the most common ones are heavy metal and rock. The idea of having Air Guitar World Championships was generated by musician Jukka Takalo. The first competition was arranged in 1996 as part of Oulu Music Video Festival. Over the years, the contest has grown into its own event. Since 2011 it has been produced by Airnest Productions Ltd, which also takes care of the brand. In the Air Guitar World Championships, participants from all over the world compete who can play the air guitar the best. The judges represent professionals of performing arts and culture, the guitarist Juha Torvinen among others.…","Oulu, Finland, in August usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. If prices spike in the historic center, look at a Oulu neighborhood one or two metro stops out, then ride in for peak sessions of Air Guitar World Championships. For Air Guitar World Championships, confirm age limits, re-entry rules, and whether the site is cashless; ear protection helps on main stages and near delay towers. Useful searches: “Air Guitar World Championships 2026 official tickets”, “Oulu August road closures transit”, “Finland travel advisory”, “Air Guitar World Championships Oulu visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Seven_Seas%2C_AGWC_2019.jpg/1920px-Seven_Seas%2C_AGWC_2019.jpg,2
albuquerque-international-balloon-fiesta,albuquerque-international-balloon-fiesta,Albuquerque International Balloon Fiesta,Albuquerque,United States,North America,35.0844,-106.6504,2026-10-03,2026-10-11,seasonal; arts,3,5,2,4,3.5,4,Photography; Family-friendly; Weekend getaway,"The Albuquerque International Balloon Fiesta is a nine-day event occurring in the first full week of October in Albuquerque, New Mexico, United States. It has over 500 hot air balloons each year, far from its beginnings of merely 13 balloons in 1972. The event is the largest balloon festival in the world, as well as the most photographed annual event, attracting hundreds of thousands of visitors each year from around the globe.","Albuquerque, United States, in October usually lines up with autumn shoulder-season for travelers—days shorten and rain returns—plan indoor backups between outdoor segments. Compare stays on both sides of the core venue cluster—cross-town transit can be faster than walking when Albuquerque International Balloon Fiesta compresses foot traffic. Ticketed evenings for Albuquerque International Balloon Fiesta may lock doors after start—screenshot QR tickets, arrive with buffer for bag checks at Albuquerque venues. Albuquerque International Balloon Fiesta hinges on outdoor conditions around Albuquerque—monitor wind and precipitation the week of travel and tuck a packable waterproof in your day bag. Useful searches: “Albuquerque International Balloon Fiesta 2026 official tickets”, “Albuquerque October road closures transit”, “United States travel advisory”, “Albuquerque International Balloon Fiesta Albuquerque visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Hot_Air_Balloons_%2C_Albuquerque_%2C_Ektachrome_by_Scott_Williams.jpg/1920px-Hot_Air_Balloons_%2C_Albuquerque_%2C_Ektachrome_by_Scott_Williams.jpg,2
almabtrieb,almabtrieb,Almabtrieb,Garmisch-Partenkirchen,Germany,Europe,47.4925,11.0958,2026-09-10,2026-09-30,seasonal; cultural_heritage,3,4,4,3,3.5,3,Traditional heritage; Food travel; Local authenticity,"The Almabtrieb (in Switzerland: Alpabzug, Alpabfahrt, or in French speaking Switzerland: Désalpes; German language literally: drive from the mountain pasture) is an annual event in the alpine regions in Europe, referring to a cattle drive that takes place in late September or early October.","Garmisch-Partenkirchen, Germany, in September usually lines up with autumn shoulder-season for travelers—days shorten and rain returns—plan indoor backups between outdoor segments. Lock lodging with easy access to the main festival spine in Garmisch-Partenkirchen; corridors nearest the route book out first for Almabtrieb. Almabtrieb hinges on outdoor conditions around Garmisch-Partenkirchen—monitor wind and precipitation the week of travel and tuck a packable waterproof in your day bag. Useful searches: “Almabtrieb 2026 official tickets”, “Garmisch-Partenkirchen September road closures transit”, “Germany travel advisory”, “Almabtrieb Garmisch-Partenkirchen visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/c/cf/Kufstein_Almabtrieb_2005.jpg,2
amsterdam-dance-event,amsterdam-dance-event,Amsterdam Dance Event,Amsterdam,Netherlands,Europe,52.3676,4.9041,2026-10-21,2026-10-24,music,5,4,2,5,4,5,Nightlife; Music lovers; Group trips,"The Amsterdam Dance Event (ADE) is a five-day electronic music conference and festival held annually in mid-October. The event, organised by The Amsterdam Dance Event Foundation, offers a full programme of daytime conferences at ADE Pro, ADE Tech, ADE University, ADE Beamlab, ADE Green, ADE Sound Lab and ADE Beats alongside the ADE By Day festival programme and the nighttime ADE Festival, which features over 1,000 events and 2,500 artists over five days in 200 clubs and venues. The most notable event is the Amsterdam Music Festival (AMF) in the Johan Cruyff Arena on Saturday night. ADE attracts over 500,000 people from all over the world to the city, making Amsterdam one of the busiest clubbing cities in the world. The event starts off on Wednesday with the daytime conferences and the extensive festival (day and night) programme and ends on Monday morning.","Amsterdam, Netherlands, in October usually lines up with autumn shoulder-season for travelers—days shorten and rain returns—plan indoor backups between outdoor segments. Compare stays on both sides of the core venue cluster—cross-town transit can be faster than walking when Amsterdam Dance Event compresses foot traffic. For Amsterdam Dance Event, confirm age limits, re-entry rules, and whether the site is cashless; ear protection helps on main stages and near delay towers. Useful searches: “Amsterdam Dance Event 2026 official tickets”, “Amsterdam October road closures transit”, “Netherlands travel advisory”, “Amsterdam Dance Event Amsterdam visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/6/64/Ade-info-2016.jpg,2
amsterdam-pride,amsterdam-pride,Amsterdam Pride,Amsterdam,Netherlands,Europe,52.3676,4.9041,2026-07-26,2026-08-03,carnival_parade; civic_national_holiday,5,5,3,5,4.5,5,Street celebrations; Nightlife; Photography,"Pride Amsterdam or Amsterdam Pride, also formerly known as the Amsterdam Gay Pride, is a citywide queer-festival held annually at the center of Amsterdam, Netherlands during the first weekend of August. The festival attracts several hundred-thousand visitors each year and is one of the largest publicly held annual events in the country. Pride Amsterdam was first organized in 1996, meant as a festival to celebrate freedom and diversity. It was therefore not like many other Gay Prides, which began as demonstrations for equal rights. The latter purpose served another event, which is called Pink Saturday (Dutch: Roze Zaterdag) since 1979 and is held in a different city each year since 1981.…","Amsterdam, Netherlands, in July usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. If prices spike in the historic center, look at a Amsterdam neighborhood one or two metro stops out, then ride in for peak sessions of Amsterdam Pride. Amsterdam often publishes temporary parade detours only days ahead—save offline maps, favor rail where possible, and stake viewing spots well before the first float. Useful searches: “Amsterdam Pride 2026 official tickets”, “Amsterdam July road closures transit”, “Netherlands travel advisory”, “Amsterdam Pride Amsterdam visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Amsterdam_Pride_Canal_Parade_2019_05.jpg/1920px-Amsterdam_Pride_Canal_Parade_2019_05.jpg,2
andong-mask-dance,andong-mask-dance,Andong Mask Dance Festival,Andong,South Korea,Asia,36.5684,128.7294,2026-09-25,2026-10-04,cultural_heritage; arts,4,5,5,2,4,2,Cultural immersion; Traditional heritage; Arts and design,"The Andong International Mask Dance Festival is Korea's premier showcase of the hahoetal mask dance tradition — satirical masked performances that date to the Joseon Dynasty. Teams from Korea and over 20 countries perform traditional mask dances from their own cultures, creating a genuine world festival of a specific art form. Andong's Hahoe Folk Village (UNESCO-listed) provides the most atmospheric backdrop. The performances use exaggerated masks to satirise aristocracy, clergy, and social hierarchy — subversive humour encoded in performance.","Andong is 2.5 hours from Seoul by KTX/bus. Late September in Korea is ideal weather — cool, clear, and colourful with autumn foliage beginning. Hahoe Village performances are in an outdoor theatre by the river. Festival runs over 10 days; the opening weekend is the most packed. The village itself is worth a full day independent of the festival.",,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Andong_Mask_Dance_Festival.jpg/1280px-Andong_Mask_Dance_Festival.jpg,0
aste-nagusia-bilbao,aste-nagusia-bilbao,Aste Nagusia Bilbao,Bilbao,Spain,Europe,43.2627,-2.9253,2026-08-21,2026-08-28,carnival_parade; cultural_heritage; music,5,5,4,4,4.5,4,Street celebrations; Summer travel; Music lovers,"Aste Nagusia or ""The Great Week"" (Basque: Bilboko Aste Nagusia, Spanish: Semana Grande de Bilbao) is the main festival of Bilbao, Basque Country, Spain, which is celebrated annually over 9 days beginning on the first Saturday following 15 August, the festivity of the Assumption of Our Lady.","Bilbao, Spain, in August usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. If prices spike in the historic center, look at a Bilbao neighborhood one or two metro stops out, then ride in for peak sessions of Aste Nagusia Bilbao. Bilbao often publishes temporary parade detours only days ahead—save offline maps, favor rail where possible, and stake viewing spots well before the first float. Useful searches: “Aste Nagusia Bilbao 2026 official tickets”, “Bilbao August road closures transit”, “Spain travel advisory”, “Aste Nagusia Bilbao Bilbao visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/a/a2/Marijaia.jpg,2
athens-epidaurus-festival,athens-epidaurus-festival,Athens Epidaurus Festival,Athens,Greece,Europe,37.9838,23.7275,2026-06-01,2026-08-31,arts; music,2,5,5,4,4,4,Cultural immersion; Summer travel; Traditional heritage,"Athens – Epidaurus Festival is an annual arts festival that takes place in Athens and Epidaurus, from May to October. It is one of the most famous festivals in Greece. It is held every year during the summer months (Fridays and Saturdays in July and August), in part in the ancient theatre of Epidaurus, on the archaeological site of the Asclepion. The festival includes musical, theatrical and other cultural events. They include performances of tragedies by Aeschylus, Sophocles and Euripides, as well as surviving comedies by Aristophanes; some performances consist simply of revivals of ancient myths or contemporary plays written on the basis of ancient dramas.","Athens, Greece, in June usually lines up with summer heat for travelers—afternoon UV and crowds stack up—hydrate, schedule outdoor blocks earlier or later in the day. Lock lodging with easy access to the main festival spine in Athens; corridors nearest the route book out first for Athens Epidaurus Festival. For Athens Epidaurus Festival, confirm age limits, re-entry rules, and whether the site is cashless; ear protection helps on main stages and near delay towers. Useful searches: “Athens Epidaurus Festival 2026 official tickets”, “Athens June road closures transit”, “Greece travel advisory”, “Athens Epidaurus Festival Athens visitor FAQ”.",,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Performance_in_the_Theatre_of_Epidaurus%2C_091065.jpg/1920px-Performance_in_the_Theatre_of_Epidaurus%2C_091065.jpg,2
ati-atihan,ati-atihan,Ati-Atihan Festival,Kalibo,Philippines,Asia,11.7082,122.3633,2026-01-18,2026-01-18,cultural_heritage; religious_spiritual,5,5,4,2,4,2,Cultural immersion; Music lovers; Photography,"Ati-Atihan in Kalibo, Aklan is the Philippines' most riotous festival and a direct ancestor of Rio-style street carnival. Participants cover their faces and bodies in soot or black paint in homage to the indigenous Ati people, then dance through the streets for days in elaborate costumes to thunderous tribal drumming. The festival honours the Santo Niño (child Jesus) but the African-inspired energy and visual intensity are unlike anything else in the Philippines. Called 'the mother of all Philippine festivals'.","Kalibo has its own airport with connections from Manila and Cebu. January is dry season in the Visayas — ideal weather. The main street dancing is on the third Sunday of January. The festival is community-led and intimate compared to Sinulog in Cebu; more authentic, less polished. Book Kalibo accommodation well ahead — the town is small.",,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Ati-Atihan_Festival_Kalibo.jpg/1280px-Ati-Atihan_Festival_Kalibo.jpg,0
