Name	City	Country	Continent	Start	End	Party	Visual	Cultural	Tourism	Avg Pulse
Advent Zagreb	Zagreb	Croatia	Europe	2026-11-30	2026-12-31	3	5	3	3	3.5
Air Guitar World Championships	Oulu	Finland	Europe	2026-08-26	2026-08-28	5	4	2	3	3.5
Albuquerque International Balloon Fiesta	Albuquerque	United States	North America	2026-10-03	2026-10-11	3	5	2	4	3.5
Almabtrieb	Garmisch-Partenkirchen	Germany	Europe	2026-09-10	2026-09-30	3	4	4	3	3.5
Amsterdam Dance Event	Amsterdam	Netherlands	Europe	2026-10-21	2026-10-24	5	4	2	5	4
Amsterdam Pride	Amsterdam	Netherlands	Europe	2026-07-26	2026-08-03	5	5	3	5	4.5
Aste Nagusia Bilbao	Bilbao	Spain	Europe	2026-08-21	2026-08-28	5	5	4	4	4.5
Athens Epidaurus Festival	Athens	Greece	Europe	2026-06-01	2026-08-31	2	5	5	4	4
Barranquilla Carnival	Barranquilla	Colombia	South America	2026-02-14	2026-02-17	5	5	4	3	4.25
Basel Fasnacht	Basel	Switzerland	Europe	2026-02-23	2026-02-25	3	5	5	4	4.25
Bastille Day — Paris	Paris	France	Europe	2026-07-14	2026-07-14	4	5	4	4	4.25
Batalla del Vino Haro	Haro	Spain	Europe	2026-06-27	2026-06-29	4	4	4	3	3.75
Battle of the Oranges — Ivrea	Ivrea	Italy	Europe	2026-02-15	2026-02-17	4	5	4	3	4
Belgrade Beer Fest	Belgrade	Serbia	Europe	2026-08-13	2026-08-16	5	4	2	4	3.75
Beltane Fire Festival	Edinburgh	United Kingdom	Europe	2026-04-30	2026-04-30	4	5	4	4	4.25
Bergkirchweih Erlangen	Erlangen	Germany	Europe	2026-05-15	2026-05-26	4	4	3	3	3.5
Birkirkara St Helen Feast	Birkirkara	Malta	Europe	2026-08-14	2026-08-18	4	5	4	3	4
Bohemian Carnevale	Prague	Czech Republic	Europe	2026-02-14	2026-02-17	4	5	3	4	4
Braderie de Lille	Lille	France	Europe	2026-09-05	2026-09-06	4	3	3	4	3.5
Burning Man	Gerlach	United States	North America	2026-08-30	2026-09-07	5	5	4	4	4.5
Busójárás — Mohács	Mohacs	Hungary	Europe	2026-02-12	2026-02-17	4	5	5	3	4.25
Calcio Storico Fiorentino	Florence	Italy	Europe	2026-06-24	2026-06-24	5	4	5	4	4.5
Calcotada Valls	Valls	Spain	Europe	2026-01-26	2026-02-02	3	3	4	3	3.25
Cannes Film Festival	Cannes	France	Europe	2026-05-12	2026-05-23	3	4	3	5	3.75
Cannstatter Volksfest	Stuttgart	Germany	Europe	2026-09-25	2026-10-11	4	4	4	4	4
Carnaval de Dunkerque	Dunkerque	France	Europe	2026-02-14	2026-03-15	5	5	4	3	4.25
Carnaval de Nice	Nice	France	Europe	2026-02-13	2026-02-28	4	5	4	4	4.25
Carnaval de Tenerife — Santa Cruz	Santa Cruz de Tenerife	Spain	Europe	2026-02-11	2026-02-17	5	5	4	4	4.5
Carnevale di Viareggio	Viareggio	Italy	Europe	2026-02-07	2026-02-25	5	5	4	3	4.25
Carnival of Binche	Binche	Belgium	Europe	2026-02-15	2026-02-17	4	5	5	3	4.25
